name,region,Beginner Runs,Intermediate Runs,Advanced Runs,Expert Runs,Runs,KM Pistes,Terrain Parks,Skiable Terrain,Snow Making,base_alt,summit_alt,lifts,skiPass_max
Adelboden,bernese-oberland,0,48,42,10,108,210,2,65,40,1068,2362,70,64
Aeschi,bernese-oberland,0,42,41,17,5,12,0,0,0,859,1400,4,33
Airolo,ticino,0,3,50,47,0,30,1,3,0,1175,2250,8,45
Aletsch Arena,valais,0,40,48,12,56,104,2,0,0,1845,2869,36,60
Amden,eastern-switzerland,0,92,8,0,12,20,0,0,0,1e3,1684,8,35
Anzère,valais,0,21,64,16,14,58,0,16,0,1423,2462,14,52
Arolla,valais,0,43,38,19,12,47,0,0,0,2003,2889,6,40
Arosa Lenzerheide,graubunden,3,60,27,9,117,225,2,0,0,1240,2865,43,75
Atzmännig Goldingen,eastern-switzerland,0,40,60,0,10,8,1,0,0,840,1200,4,35
Avers,graubunden,0,25,6,69,0,8,0,3,0,2e3,2600,3,32
Beatenberg,bernese-oberland,0,25,75,0,4,30,0,0,0,1120,1950,4,40
Beckenried - Klewenalp,central-switzerland,0,12,12,59,17,40,0,14,0,1600,2001,17,51
Belalp - Blatten - Naters,valais,0,33,34,33,22,60,0,0,0,1322,3112,6,56
Bellwald,valais,0,29,57,14,13,35,0,0,0,1680,2600,4,51
Bergün - Bravuogn,graubunden,0,14,76,11,6,25,0,0,0,1400,2500,5,43
Bivio,graubunden,0,33,33,0,9,5,0,0,0,1769,2560,4,39
Boltigen,bernese-oberland,0,20,70,10,8,20,0,0,0,1508,1683,3,33
Braunwald,eastern-switzerland,0,56,31,13,6,32,0,12,3,1256,1900,13,48
Brienz - Axalp,bernese-oberland,0,60,30,10,9,20,0,0,0,1400,2e3,6,46
Brigels - Breil,graubunden,0,83,8,8,12,25,0,1032,3,1100,2418,9,56
Brunni - Alpthal,central-switzerland,0,58,42,0,12,15,1,0,0,1100,1405,7,38
Bruson et Val de Bagnes,valais,0,48,21,31,12,48,0,0,0,1500,2220,6,47
Bugnenets - Savagnières,neuchatel,0,27,40,33,14,30,0,0,0,1160,1450,7,36
Bulle - La Chia,fribourg,0,100,0,0,2,3,0,0,0,786,1300,2,20
Bumbach Schangnau,schweizer-mittelland,0,50,50,0,6,6,0,0,0,920,1365,3,33
Bürchen - Törbel,valais,0,18,64,18,11,25,0,0,0,1480,2540,9,44
Cari,ticino,0,40,40,20,10,20,0,0,0,1650,2300,4,42
Champéry,valais,12,42,35,11,286,650,30,273,0,1040,2277,216,60
Champex - Lac,valais,0,20,67,13,4,15,0,0,0,1500,2200,4,39
Charmey,fribourg,0,30,63,7,10,30,0,0,0,890,1627,4,43
Château d'Oex,bernese-oberland,0,15,60,25,8,20,1,101,0,958,1630,4,42
Chur,graubunden,0,40,40,20,6,20,0,0,0,595,2174,5,42
Corvatsch - Sils - Silvaplana,graubunden,0,17,74,9,23,120,4,0,0,1870,3303,14,79
Crans Montana,valais,0,39,50,11,41,140,3,0,6,1500,3e3,27,69
Dallenwil - Wirzweli,central-switzerland,0,70,30,0,5,5,0,0,0,1233,2e3,4,35
Davos Klosters,graubunden,0,28,52,20,76,279,2,0,0,1120,2844,54,70
Degersheim,eastern-switzerland,0,20,0,0,5,10,0,0,0,800,1100,3,25
Diavolezza - Pontresina,graubunden,0,0,67,33,9,9,0,0,0,2093,2978,7,67
Diemtigtal - Grimmialp,bernese-oberland,0,40,50,10,7,10,0,0,0,1230,1870,3,39
Diemtigtal - Springenboden,bernese-oberland,0,40,34,26,3,6,0,0,0,820,1850,3,28
Diemtigtal - Wiriehorn,bernese-oberland,0,30,50,20,7,18,0,0,0,305,579,7,48
Disentis 3000,graubunden,0,33,50,17,13,60,1,2,0,1227,2833,10,56
Ebenalp - Appenzellerland,eastern-switzerland,0,10,70,20,7,10,0,0,0,900,1726,6,34
Ebnat - Kappel,eastern-switzerland,0,57,43,0,2,4,0,0,0,885,1181,2,30
Eischoll,valais,0,33,40,27,15,15,0,0,0,1230,2200,7,44
Elm,eastern-switzerland,0,43,40,18,15,40,0,16,2,1e3,2105,9,48
Engadin St. Moritz,graubunden,0,20,70,10,88,350,3,0,0,1731,3303,56,79
Engelberg,central-switzerland,0,33,57,10,19,82,1,0,0,1050,3020,28,65
Eriz,bernese-oberland,0,25,25,25,4,6,0,0,0,1005,1400,3,33
Evolène,valais,0,29,59,12,11,42,0,20,0,1407,2680,5,40
Fideris,graubunden,0,50,40,10,10,15,0,0,0,905,2844,6,42
Flumserberg - Heidiland,eastern-switzerland,0,15,59,26,26,65,2,0,0,1200,2222,17,58
Frutigen,bernese-oberland,0,34,48,17,18,29,0,0,0,1250,2340,7,52
Giswil - Mörlialp,central-switzerland,0,36,43,21,6,14,0,0,0,480,1850,6,38
Glacier 3000,bernese-oberland,0,33,27,41,12,30,1,22,0,1350,3016,10,63
Grächen,valais,0,20,75,5,12,44,1,16,0,1619,2868,9,56
Grimentz-Zinal,valais,0,23,44,33,48,115,1,0,0,1327,2920,21,61
Grindelwald - Wengen,bernese-oberland,0,38,40,22,55,155,3,0,0,796,2500,27,64
Grüsch-Danusa,graubunden,0,19,63,19,32,32,1,13,0,630,1800,11,52
Gstaad,bernese-oberland,0,60,28,13,75,200,2,61,0,1050,3e3,47,63
Gstaad - Saanen - Rougemont,bernese-oberland,0,60,30,10,20,58,0,0,0,992,2151,16,63
Gurnigelbad - Ruti bei Riggisberg,schweizer-mittelland,0,67,33,0,0,6,0,0,0,970,1950,3,25
Habkern,bernese-oberland,0,25,25,25,4,10,0,0,0,1200,2163,2,35
Heiden/Appenzellerland,eastern-switzerland,0,11,0,0,9,20,0,0,0,810,1100,4,24
Hemberg - Bächli,eastern-switzerland,0,0,0,0,3,5,0,0,0,950,1120,3,25
Hoch-Ybrig,central-switzerland,0,61,28,11,18,50,1,16,0,900,1856,12,53
Jakobsbad - Kronberg,eastern-switzerland,100,0,0,0,1,7,0,0,0,890,1660,5,41
Jaun,fribourg,0,30,60,10,10,20,0,0,0,1020,1600,4,39
Kandersteg,bernese-oberland,0,50,33,17,6,14,0,5,4,1200,1936,9,44
Kiental,bernese-oberland,0,50,25,0,4,12,0,0,0,1e3,1411,4,32
Krummenau - Wolzenalp/Toggenburg,eastern-switzerland,0,0,75,25,4,13,0,0,0,730,1509,2,36
Laax,graubunden,0,36,39,26,64,235,4,40,0,1100,3018,28,78
La Berra - La Roche,fribourg,0,56,44,0,9,20,0,4,1,1040,1640,5,39
La Fouly - Val Ferret,valais,0,30,20,50,10,20,0,0,0,1600,2200,4,39
La Punt,graubunden,0,100,0,0,2,1,0,0,0,1687,1950,1,32
La Robella,jura,0,38,23,38,13,20,0,0,0,770,1457,5,30
La Tzoumaz - Savoleyres,valais,0,22,78,0,9,36,0,0,0,1500,2354,9,75
Le Brassus,jura,0,32,32,36,11,25,0,0,0,1020,1450,11,27
Lenk im Simmental,bernese-oberland,0,46,43,11,65,182,2,18,40,1068,2100,55,64
Les Avants,lake-geneva-region,0,0,0,0,1,2,0,0,0,980,1150,4,17
Les Crosets,valais,12,42,35,11,286,650,0,0,0,1670,2277,197,61
Les Diablerets,lake-geneva-region,0,43,45,12,38,84,0,0,0,1200,2971,26,63
Les Marécottes - Salvan,valais,0,52,28,20,7,25,0,0,0,1100,2200,3,43
Les Paccots,fribourg,5,50,25,20,8,20,0,0,0,1065,1500,10,36
Les Pléiades,lake-geneva-region,0,100,0,0,6,15,0,0,0,1e3,1360,4,35
Les Prés d'Orvin,bernese-oberland,0,33,0,0,6,25,0,0,0,1235,1320,1,30
Leukerbad,valais,0,11,46,43,19,52,1,16,0,1410,2610,10,55
Leysin - Les Mosses - La Lécherette,vaud,0,57,30,13,46,100,2,24,0,1328,2200,28,49
Lötschental,valais,0,36,31,33,13,55,0,0,0,1400,3111,7,55
Marbach,central-switzerland,0,70,30,0,6,10,1,0,0,872,1500,3,39
Meiringen - Hasliberg,bernese-oberland,0,28,51,13,23,60,1,0,0,1050,2433,13,57
Melchsee - Frutt,central-switzerland,0,56,21,24,10,36,1,0,0,1080,2255,14,50
Moléson - Gruyères,fribourg,0,61,14,25,7,28,0,0,0,1100,2002,7,35
Morgins,valais,0,26,58,15,286,650,0,28,2,1350,2e3,197,61
Mürren - Schilthorn,bernese-oberland,0,37,45,18,0,51,0,21,11,1650,2971,17,64
Nax,valais,0,17,33,50,6,35,0,0,0,1490,2640,5,49
Nendaz,valais,0,41,54,5,86,412,1,71,4,1400,3330,91,75
Obergoms,valais,0,50,50,0,6,10,0,0,0,1300,1500,4,22
Obersaxen - Val Lumnezia,graubunden,0,43,47,10,49,120,1,0,0,1244,2300,17,58
Ottenleue,fribourg,0,0,0,0,3,5,0,0,0,1450,1600,1,26
Ovronnaz,valais,0,17,57,27,10,30,0,0,0,1350,2427,13,51
Pizol - Heidiland,eastern-switzerland,10,34,33,23,26,43,1,0,0,510,2844,11,55
Ricken,eastern-switzerland,0,100,0,0,2,5,0,0,0,800,900,1,21
Riffenmatt,schweizer-mittelland,0,0,0,0,0,3,0,0,0,1050,1150,2,22
Rigi,central-switzerland,0,7,86,0,7,10,0,0,0,1428,1797,5,47
Rochers de Naye - Caux,lake-geneva-region,0,0,67,33,6,8,0,0,0,1e3,2e3,5,35
Rossberg Oberwil,bernese-oberland,0,8,84,0,3,5,0,0,0,900,1550,1,31
Rosswald - Brig,valais,0,64,7,14,14,20,0,0,0,1820,2600,11,40
Rothenthurm,central-switzerland,0,25,50,25,4,10,0,0,0,900,1330,2,28
Rüschegg - Eywald,schweizer-mittelland,0,47,33,20,5,15,0,0,0,1290,1600,2,36
Saanenmöser,bernese-oberland,0,65,29,6,42,110,1,0,0,948,2011,21,63
Saas Almagell,valais,0,33,59,8,7,12,0,0,0,1672,2400,8,45
Saas Fee,valais,0,37,40,14,48,100,1,40,0,1800,3600,22,73
Saas-Grund,valais,0,100,0,0,9,35,0,0,0,1559,3200,40,54
Samedan,graubunden,0,100,0,0,2,3,0,0,0,1720,1950,2,35
Samnaun,graubunden,0,25,46,29,76,238,3,0,0,1799,2872,45,49
Sarn - Heinzenberg,graubunden,0,30,60,10,0,20,0,8,0,1300,2075,4,33
Sattel - Hochstuckli,central-switzerland,0,50,50,0,8,14,0,3,0,779,1530,6,39
Savognin,graubunden,0,48,44,8,25,80,0,0,0,1200,2713,12,57
Schönengrund - Appenzellerland,eastern-switzerland,0,0,0,0,0,1,0,0,0,830,940,1,25
Schwanden - Sigriswil,bernese-oberland,0,43,28,0,7,20,0,0,0,1025,1500,3,32
Schwarzenbühl - Selital,schweizer-mittelland,0,40,40,20,0,10,0,0,0,1290,1600,3,34
Schwarzsee,fribourg,0,55,36,9,10,22,1,0,0,1050,1750,5,39
Schwellbrunn - Appenzellerland,eastern-switzerland,0,60,0,0,5,10,0,0,0,850,1048,3,25
Schwyz - Ibergeregg (Mythen),central-switzerland,0,50,50,0,5,6,0,0,0,1360,1580,2,27
Schwyz - Rotenfluh (Mythen),central-switzerland,0,44,52,4,33,50,1,0,0,586,1571,15,45
Scuol,graubunden,0,38,46,16,25,80,0,32,2,1250,2783,14,57
Skiarena Andermatt-Sedrun,central-switzerland,0,30,53,17,47,120,1,26,0,1444,2963,22,37
Sörenberg,central-switzerland,0,28,65,8,18,53,0,0,0,1166,2350,17,50
Splügen,graubunden,0,40,37,23,14,30,1,12,0,1480,2215,6,50
St. Antönien,graubunden,0,55,35,10,7,10,0,0,0,1330,1680,3,32
St-Cergue La Dôle,jura,7,61,25,7,21,28,0,0,0,1230,1678,16,31
Ste-Croix - Les Rasses,jura,0,50,20,10,10,30,0,8,0,1100,1600,9,32
St-Luc Chandolin,valais,0,44,50,6,34,60,1,3,0,1680,2980,15,58
St. Moritz - Corviglia,graubunden,0,18,70,10,88,163,1,0,0,1730,3057,24,79
Stoos,central-switzerland,0,15,60,20,12,35,1,90,0,1300,1935,9,50
St. Peter - Pagig,graubunden,0,25,17,8,12,20,0,0,0,1750,2200,2,40
Thyon 2000,valais,0,36,60,4,41,212,1,0,0,1300,2700,51,75
Toggenburg,eastern-switzerland,0,17,75,8,23,60,1,0,0,1350,2262,17,59
Torgon,valais,0,49,49,2,23,45,1,0,0,1150,2001,51,61
Tschappina Heinzenberg,graubunden,0,50,40,10,0,30,1,13,2,1550,2180,8,34
Tschiertschen,graubunden,0,45,18,9,11,5,0,0,0,1351,2400,6,49
Unterbäch,valais,0,20,50,20,10,20,0,0,0,1228,2550,8,44
Val Mustair,graubunden,0,25,25,19,16,40,0,0,0,2e3,2700,3,40
Vals,graubunden,0,43,14,21,14,20,0,10,0,1250,3e3,5,49
Verbier,valais,0,31,48,21,94,412,1,162,3,1500,3330,82,75
Vercorin,valais,0,29,57,14,14,35,1,0,0,1330,2336,9,52
Veysonnaz,valais,0,41,54,5,125,412,0,0,0,1470,2700,88,58
Vichères - Liddes,valais,0,47,33,20,11,15,0,0,0,1346,2267,6,39
Villars - Gryon,lake-geneva-region,0,42,48,10,67,84,1,260,7,1114,2020,26,54
Zermatt,valais,5,23,59,14,109,360,1,0,0,1620,3899,52,79
Zuoz,graubunden,0,63,27,10,10,15,0,0,0,1716,2465,5,56
